id,user_id,product,time_of_day,quantity,calories,fat,saturated,carbs,sugars,protein,salt,fiber,notes,created_at,updated_at
3,3,Protein Shake,snack,2,240,2.0,1.0,6,2.0,48.0,0.2,0.0,,2025-01-03 19:00:30,2025-01-03 19:12:30
4,3,Chocolate Bar,snack,3,690,39.0,24.0,75,69.0,9.0,0.3,6.0,,2025-01-04 12:19:58,2025-01-04 12:54:58
5,3,Smoothie,snack,1,250,1.5,0.3,55,48.0,5.0,0.0,4.0,,2025-01-06 13:03:23,2025-01-06 13:49:23
6,3,Pizza Slice,dinner,1,285,10.0,4.5,36,3.5,12.0,0.8,2.0,,2025-01-07 10:06:48,2025-01-07 10:37:48
7,3,Pizza Slice,dinner,1,285,10.0,4.5,36,3.5,12.0,0.8,2.0,,2025-01-07 14:50:28,2025-01-07 15:42:28
8,3,Chocolate Bar,snack,3,690,39.0,24.0,75,69.0,9.0,0.3,6.0,,2025-01-08 09:46:08,2025-01-08 10:22:08
9,3,Oatmeal,breakfast,2,300,6.0,1.0,54,2.0,10.0,0.0,8.0,,2025-01-09 17:38:55,2025-01-09 18:10:55
10,3,Smoothie,snack,2,500,3.0,0.6,110,96.0,10.0,0.0,8.0,,2025-01-13 08:25:56,2025-01-13 09:13:56
11,3,Steak (200g),dinner,2,1000,80.0,32.0,0,0.0,92.0,0.4,0.0,,2025-01-13 17:35:34,2025-01-13 17:52:34
12,3,Smoothie,snack,1,250,1.5,0.3,55,48.0,5.0,0.0,4.0,,2025-01-17 06:04:24,2025-01-17 06:14:24
13,3,Protein Shake,snack,2,240,2.0,1.0,6,2.0,48.0,0.2,0.0,,2025-01-17 06:49:47,2025-01-17 07:01:47
14,3,Smoothie,snack,3,750,4.5,0.9,165,144.0,15.0,0.0,12.0,,2025-01-19 08:19:15,2025-01-19 08:54:15
15,3,Fish Tacos,dinner,2,600,24.0,5.0,56,6.0,36.0,1.4,4.0,,2025-01-21 12:53:03,2025-01-21 13:42:03
16,3,Steak (200g),dinner,2,1000,80.0,32.0,0,0.0,92.0,0.4,0.0,,2025-01-23 13:10:05,2025-01-23 14:03:05
17,3,Pizza Slice,dinner,1,285,10.0,4.5,36,3.5,12.0,0.8,2.0,,2025-01-25 18:46:29,2025-01-25 19:23:29
18,3,Protein Shake,snack,1,120,1.0,0.5,3,1.0,24.0,0.1,0.0,,2025-01-26 06:29:33,2025-01-26 07:15:33
19,3,Smoothie,snack,3,750,4.5,0.9,165,144.0,15.0,0.0,12.0,,2025-01-26 10:04:15,2025-01-26 10:40:15
20,3,Protein Shake,snack,2,240,2.0,1.0,6,2.0,48.0,0.2,0.0,,2025-01-26 19:28:42,2025-01-26 19:36:42
21,3,Banana,snack,1,105,0.4,0.1,27,14.0,1.3,0.0,3.1,,2025-01-27 07:42:47,2025-01-27 08:02:47
22,3,Pizza Slice,dinner,1,285,10.0,4.5,36,3.5,12.0,0.8,2.0,,2025-01-29 09:27:43,2025-01-29 10:13:43
23,3,Chocolate Bar,snack,1,230,13.0,8.0,25,23.0,3.0,0.1,2.0,,2025-01-29 15:27:53,2025-01-29 15:50:53
